energy,norm,counts
-0.4794520139694214,0.0,0.0
-0.47445300221443176,0.0,0.0
-0.46945399045944214,0.0,0.0
-0.4644550085067749,0.0,0.0
-0.4594559967517853,0.0,0.0
-0.45445701479911804,0.0,0.0
-0.4494580030441284,0.0,0.0
-0.4444589912891388,0.0,0.0
-0.43946000933647156,0.0,0.0
-0.43446099758148193,0.0,0.0
-0.4294619858264923,0.0,0.0
-0.4244630038738251,0.0,0.0
-0.41946399211883545,0.0,0.0
-0.4144650101661682,0.0,0.0
-0.4094659984111786,0.0,0.0
-0.40446698665618896,0.0,0.0
-0.39946800470352173,0.0,0.0
-0.3944689929485321,0.0,0.0
-0.38947001099586487,0.0,0.0
-0.38447099924087524,0.0,0.0
-0.3794719874858856,0.0,0.0
-0.3744730055332184,0.0,0.0
-0.36947399377822876,0.0,0.0
-0.3644750118255615,0.0,0.0
-0.3594760000705719,0.0,0.0
-0.3544769883155823,0.0,0.0
-0.34947800636291504,0.0,0.0
-0.3444789946079254,0.0,0.0
-0.3394800126552582,0.0,0.0
-0.33448100090026855,0.0,0.0
-0.32948198914527893,0.0,0.0
-0.3244830071926117,0.0,0.0
-0.31948399543762207,0.0,0.0
-0.31448501348495483,0.0,0.0
-0.3094860017299652,0.0,0.0
-0.3044869899749756,0.0,0.0
-0.29948800802230835,0.0,0.0
-0.2944889962673187,0.0,0.0
-0.2894900143146515,0.0,0.0
-0.28449100255966187,0.0,0.0
-0.27949199080467224,0.0,0.0
-0.274493008852005,0.0,0.0
-0.2694939970970154,0.0,0.0
-0.26449498534202576,0.0,0.0
-0.2594960033893585,0.0,0.0
-0.2544969916343689,0.0,0.0
-0.24949799478054047,0.0,0.0
-0.24449899792671204,0.0,0.0
-0.2395000010728836,0.0,0.0
-0.23450100421905518,0.0,0.0
-0.22950200736522675,0.0,0.0
-0.22450299561023712,0.0,0.0
-0.2195039987564087,0.0,0.0
-0.21450500190258026,0.0,0.0
-0.20950600504875183,0.0,0.0
-0.2045069932937622,0.0,0.0
-0.19950799643993378,0.0,0.0
-0.19450899958610535,0.0,0.0
-0.18951000273227692,0.0,0.0
-0.1845110058784485,0.0,0.0
-0.17951199412345886,0.0,0.0
-0.17451299726963043,0.0,0.0
-0.169514000415802,0.0,0.0
-0.16451500356197357,0.0,0.0
-0.15951600670814514,0.0,0.0
-0.15451699495315552,0.0,0.0
-0.1495179980993271,0.0,0.0
-0.14451900124549866,0.0,0.0
-0.13952000439167023,0.0,0.0
-0.1345209926366806,0.0,0.0
-0.12952199578285217,0.0,0.0
-0.12452299892902374,0.0,0.0
-0.11952400207519531,0.0,0.0
-0.11452499777078629,3.0,3.0
-0.10952600091695786,5.0,5.0
-0.10452699661254883,16.0,16.0
-0.0995279997587204,27.0,27.0
-0.09452900290489197,54.0,54.0
-0.08952999860048294,81.0,81.0
-0.08453100174665451,155.0,155.0
-0.07953199744224548,218.0,218.0
-0.07453300058841705,373.0,373.0
-0.06953399628400803,559.0,559.0
-0.0645349994301796,829.0,829.0
-0.05953599885106087,1209.0,1209.0
-0.05453699827194214,1619.0,1619.0
-0.04953800141811371,2243.0,2243.0
-0.04453900083899498,2942.0,2942.0
-0.03954000025987625,3799.0,3799.0
-0.03454099968075752,4568.0,4568.0
-0.029541999101638794,5590.0,5590.0
-0.024543000385165215,6524.0,6524.0
-0.019543999806046486,7119.0,7119.0
-0.014545000158250332,8102.0,8102.0
-0.009545999579131603,8605.0,8605.0
-0.004546999931335449,8936.0,8936.0
0.00045200000749900937,9182.0,9182.0
0.005450999829918146,9080.0,9080.0
0.010449999943375587,8684.0,8684.0
0.015448999591171741,7758.0,7758.0
0.020447999238967896,7290.0,7290.0
0.025446999818086624,6415.0,6415.0
0.030446000397205353,5522.0,5522.0
0.03544500097632408,4600.0,4600.0
0.04044400155544281,3644.0,3644.0
0.04544299840927124,2811.0,2811.0
0.05044199898838997,2187.0,2187.0
0.0554409995675087,1646.0,1646.0
0.060440000146627426,1197.0,1197.0
0.06543900072574615,862.0,862.0
0.07043799757957458,513.0,513.0
0.07543700188398361,365.0,365.0
0.08043599873781204,232.0,232.0
0.08543500304222107,140.0,140.0
0.0904339998960495,76.0,76.0
0.09543299674987793,52.0,52.0
0.10043200105428696,29.0,29.0
0.10543099790811539,17.0,17.0
0.11043000221252441,8.0,8.0
0.11542899906635284,2.0,2.0
0.12042800337076187,1.0,1.0
0.1254269927740097,0.0,0.0
0.13042600452899933,0.0,0.0
0.13542500138282776,1.0,1.0
0.1404239982366562,3.0,3.0
0.14542299509048462,0.0,0.0
0.15042200684547424,0.0,0.0
0.15542100369930267,0.0,0.0
0.1604200005531311,0.0,0.0
0.16541899740695953,0.0,0.0
0.17041799426078796,0.0,0.0
0.1754170060157776,0.0,0.0
0.18041600286960602,0.0,0.0
0.18541499972343445,0.0,0.0
0.19041399657726288,0.0,0.0
0.1954129934310913,0.0,0.0
0.20041200518608093,0.0,0.0
0.20541100203990936,0.0,0.0
0.2104099988937378,0.0,0.0
0.21540899574756622,0.0,0.0
0.22040799260139465,0.0,0.0
0.22540700435638428,0.0,0.0
0.2304060012102127,0.0,0.0
0.23540499806404114,0.0,0.0
0.24040399491786957,0.0,0.0
0.2454030066728592,0.0,0.0
0.2504020035266876,0.0,0.0
0.25540098547935486,0.0,0.0
0.2603999972343445,0.0,0.0
0.2653990089893341,0.0,0.0
0.27039799094200134,0.0,0.0
0.27539700269699097,0.0,0.0
0.2803960144519806,0.0,0.0
0.2853949964046478,0.0,0.0
0.29039400815963745,0.0,0.0
